id,league,season,name,team,position,blocker,glove,passing,pokeCheck,positioning,rebound,recovery,puckhandling,lowShots,reflexes,skating,aggression,mentalToughness,determination,teamPlayer,leadership,goalieStamina,professionalism,appliedTPE,pos
467,1,59,Tyler Avery,DET,G,10,10,6,10,12,10,10,10,10,10,10,7,10,15,15,15,12,15,159,Goalie
509,1,59,Keisuke Suzuki,VAN,G,12,13,9,9,11,10,11,11,10,15,12,8,11,15,15,15,11,15,256,Goalie
575,1,59,Valtteri Aalto,KEL,G,13,14,11,11,15,11,15,11,13,15,13,8,11,15,15,15,11,15,425,Goalie
580,1,59,Ragnar-Alexandre Ragnarsson-Tremblay,CAR,G,13,13,8,10,15,14,15,9,13,15,10,8,12,15,15,15,12,15,409,Goalie
605,1,59,Tyler Ward,QCC,G,14,13,11,9,14,14,14,12,13,14,10,8,12,15,15,15,13,15,412,Goalie
617,1,59,Tyrone Banks,COL,G,10,12,7,10,11,11,11,9,11,12,9,8,9,15,15,15,9,15,160,Goalie
625,1,59,Kevin Newman,QCC,G,11,11,9,10,11,11,11,4,11,11,8,8,9,15,15,15,11,15,155,Goalie
627,1,59,Tim Allen Jr.,NL,G,9,9,8,8,13,12,13,8,10,13,9,8,12,15,15,15,8,15,189,Goalie
660,1,59,Liam Bell,MET,G,11,11,11,11,11,11,11,11,11,4,4,8,4,15,15,15,10,15,155,Goalie
672,1,59,Guy Fieri,ANC,G,11,11,5,5,15,11,11,8,11,14,8,8,10,15,15,15,13,15,240,Goalie
685,1,59,Osada Tamura,CAR,G,16,14,4,4,9,8,7,4,9,6,4,7,9,15,15,15,9,15,165,Goalie
731,1,59,Jack Lewis,STL,G,11,11,10,9,11,11,11,10,11,12,7,8,8,15,15,15,11,15,170,Goalie
757,1,59,Podan Podanovic,DET,G,12,12,12,12,13,13,13,12,12,13,12,8,12,15,15,15,12,15,344,Goalie
771,1,59,Ethan Bravo,ANC,G,9,10,6,6,16,9,7,6,9,10,6,8,10,15,15,15,10,15,155,Goalie
772,1,59,Loic Therien,KEL,G,8,8,8,8,5,8,10,5,5,15,5,8,5,15,15,15,15,15,155,Goalie
786,1,59,Roddy Ross,STL,G,10,15,5,5,10,10,10,6,8,10,10,8,10,15,15,15,10,15,155,Goalie
795,1,59,Benjamin Blue-II,KEL,G,14,14,9,10,13,13,13,9,13,13,11,8,12,15,15,15,13,15,349,Goalie
811,1,59,Senji Seteki,COL,G,12,11,8,11,15,11,11,7,11,14,6,7,10,15,15,15,13,15,263,Goalie
814,1,59,Willie Macdougal,ANC,G,11,13,5,10,13,11,10,5,10,11,7,8,8,15,15,15,8,15,155,Goalie
827,1,59,Evgeni Petrov,NL,G,13,13,9,6,14,14,14,6,13,15,6,8,12,15,15,15,10,15,343,Goalie
871,1,59,Bloody Oath,MET,G,13,14,10,10,13,13,13,10,13,13,10,8,13,15,15,15,13,15,347,Goalie
876,1,59,Remus Trimble,NBB,G,5,5,9,17,10,10,6,5,8,5,5,8,9,15,15,15,8,15,155,Goalie
881,1,59,Iorek Byrnison,STL,G,13,13,10,10,14,13,14,10,13,15,9,8,10,15,15,15,11,15,350,Goalie
897,1,59,Bean Gamble,ANC,G,10,12,5,8,9,10,13,10,7,10,10,8,11,15,15,15,11,15,155,Goalie
956,1,59,Mertin Broduer,VAN,G,12,12,8,8,12,10,10,10,12,12,8,8,9,15,15,15,9,15,177,Goalie
958,1,59,Walrus Walrus,MET,G,11,11,5,5,12,11,11,11,11,11,6,8,7,15,15,15,11,15,155,Goalie
1041,1,59,Dustin Alexander,STL,G,10,10,15,10,10,6,7,6,6,10,10,8,10,15,15,15,10,15,155,Goalie
1047,1,59,Willie Miller,NBB,G,10,10,10,4,11,10,8,4,10,15,6,8,10,15,15,15,10,15,160,Goalie
1050,1,59,Monster The Doctor,DET,G,11,12,10,10,11,11,10,10,13,12,6,7,10,15,15,15,11,15,200,Goalie
1081,1,59,Roddy Ross,CAR,G,10,15,5,5,10,10,10,6,8,10,10,8,10,15,15,15,10,15,155,Goalie
1179,1,59,Olof Karsikko,VAN,G,11,13,5,9,14,11,12,10,12,14,6,8,11,15,15,15,13,15,272,Goalie
1180,1,59,Nor Dekes,QCC,G,13,13,9,9,13,9,12,10,12,14,9,8,10,15,15,15,10,15,248,Goalie
36,1,60,Ivan Browning ,VAN,G,10,10,9,8,13,11,11,9,10,12,9,8,11,15,15,15,6,15,160,Goalie
66,1,60,Zhen Roza,ANA,G,13,13,5,5,15,13,14,5,12,15,10,8,11,15,15,15,13,15,350,Goalie
68,1,60,Tyler Cannon,QCC,G,10,10,8,10,10,10,10,8,9,9,14,8,10,15,15,15,10,15,155,Goalie
132,1,60,Corey McFarland,KEL,G,8,10,6,5,13,11,13,5,13,13,5,8,11,15,15,15,9,15,182,Goalie
166,1,60,Yanno Rosejac,ANC,G,14,14,8,8,14,14,14,7,14,16,9,8,11,15,15,15,12,15,425,Goalie
267,1,60,Julius Parker,VAN,G,10,11,7,10,11,10,11,7,10,11,10,8,11,15,15,15,11,15,155,Goalie
332,1,60,Shawn Lonkert,CAR,G,10,10,11,5,10,10,11,11,10,10,10,8,9,15,15,15,12,15,155,Goalie
467,1,60,Tyler Avery,DET,G,10,10,7,10,12,10,10,10,10,10,10,8,10,15,15,15,12,15,160,Goalie
509,1,60,Keisuke Suzuki,VAN,G,12,13,9,9,11,10,11,11,10,15,12,8,11,15,15,15,11,15,256,Goalie
617,1,60,Tyrone Banks,COL,G,10,12,7,10,11,11,11,9,11,12,9,8,9,15,15,15,9,15,160,Goalie
625,1,60,Kevin Newman,QCC,G,11,11,9,10,11,11,11,4,11,11,8,8,9,15,15,15,11,15,155,Goalie
627,1,60,Tim Allen Jr.,NL,G,9,9,8,8,13,12,13,8,10,13,9,8,12,15,15,15,8,15,189,Goalie
631,1,60,Harley Fank,NBB,G,12,13,6,7,11,11,11,5,11,13,5,8,5,15,15,15,5,15,155,Goalie
660,1,60,Liam Bell,MET,G,11,11,11,11,11,11,11,11,11,4,4,8,4,15,15,15,10,15,155,Goalie
685,1,60,Osada Tamura,CAR,G,16,14,5,7,13,11,8,5,10,7,5,8,10,15,15,15,10,15,223,Goalie
731,1,60,Jack Lewis,STL,G,11,11,10,9,11,11,11,10,11,12,7,8,8,15,15,15,11,15,170,Goalie
756,1,60,Jesse Hellanude,ANA,G,4,4,4,4,18,4,4,4,4,4,4,8,5,15,15,15,6,15,153,Goalie
757,1,60,Podan Podanovic,DET,G,12,12,12,12,13,13,13,12,12,13,12,8,12,15,15,15,12,15,344,Goalie
771,1,60,Ethan Bravo,COL,G,9,10,6,6,16,9,7,6,9,10,6,8,10,15,15,15,10,15,155,Goalie
772,1,60,Loic Therien,KEL,G,8,8,8,8,5,8,10,5,5,15,5,8,5,15,15,15,15,15,155,Goalie
786,1,60,Roddy Ross,STL,G,10,15,5,5,10,10,10,6,8,10,10,8,10,15,15,15,10,15,155,Goalie
795,1,60,Benjamin Blue-II,KEL,G,14,14,9,10,14,13,14,9,13,13,11,8,12,15,15,15,13,15,379,Goalie
811,1,60,Senji Seteki,COL,G,12,13,8,10,15,13,13,7,13,15,7,7,9,15,15,15,13,15,333,Goalie
814,1,60,Willie Macdougal,NBB,G,11,13,5,10,13,11,10,5,10,11,7,8,8,15,15,15,8,15,155,Goalie
827,1,60,Evgeni Petrov,NL,G,13,13,8,6,15,15,15,6,13,16,8,7,12,15,15,15,11,15,419,Goalie
871,1,60,Bloody Oath,MET,G,14,14,10,12,14,13,13,11,14,14,10,8,13,15,15,15,13,15,425,Goalie
876,1,60,Remus Trimble,NBB,G,5,5,9,17,10,10,6,5,8,5,5,8,9,15,15,15,8,15,155,Goalie
881,1,60,Iorek Byrnison,STL,G,14,14,11,10,15,13,14,10,13,16,9,8,10,15,15,15,11,15,425,Goalie
896,1,60,Sebastian Andrews,COL,G,11,10,6,10,8,11,11,8,11,11,11,8,12,15,15,15,8,15,155,Goalie
897,1,60,Bean Gamble,ANC,G,10,12,5,8,9,10,13,10,7,10,10,8,11,15,15,15,11,15,155,Goalie
956,1,60,Mertin Broduer,VAN,G,12,12,8,8,12,10,10,10,12,12,8,8,9,15,15,15,9,15,177,Goalie
958,1,60,Walrus Walrus,MET,G,11,11,5,5,12,11,11,11,11,11,6,8,7,15,15,15,11,15,155,Goalie
1041,1,60,Dustin Alexander,STL,G,10,10,15,10,10,6,7,6,6,10,10,8,10,15,15,15,10,15,155,Goalie
1047,1,60,Willie Miller,NBB,G,11,11,10,7,15,13,14,7,11,15,7,8,11,15,15,15,11,15,300,Goalie
1050,1,60,Monster The Doctor,DET,G,11,12,10,11,11,11,11,11,13,12,6,7,10,15,15,15,11,15,215,Goalie
1062,1,60,Toejam Picker,ANC,G,10,11,10,10,11,12,11,9,7,11,10,8,8,15,15,15,10,15,155,Goalie
1081,1,60,Roddy Ross,CAR,G,10,15,5,5,10,10,10,6,8,10,10,8,10,15,15,15,10,15,155,Goalie
1120,1,60,Jonas Johansson,NL,G,11,12,8,9,13,12,11,9,12,13,10,8,10,15,15,15,10,15,217,Goalie
1179,1,60,Olof Karsikko,VAN,G,12,14,6,10,15,12,12,10,12,15,6,7,12,15,15,15,13,15,347,Goalie
1180,1,60,Nor Dekes,QCC,G,13,13,9,9,15,9,15,10,13,15,9,8,11,15,15,15,11,15,349,Goalie
1277,1,60,Charlie Bombay,ANA,G,12,13,7,7,13,11,11,10,13,11,10,8,10,15,15,15,10,15,216,Goalie
1278,1,60,Meeka Keprosoft,CAR,G,12,13,5,10,15,12,12,5,13,12,5,8,10,15,15,15,10,15,255,Goalie
1279,1,60,Rusty Remao,MET,G,13,11,8,8,15,11,11,8,11,15,8,8,11,15,15,15,11,15,268,Goalie
1280,1,60,Jason Playstation,KEL,G,9,11,5,6,15,11,7,9,11,12,5,8,10,15,15,15,10,15,171,Goalie
66,1,61,Zhen Roza,COL,G,13,13,5,10,15,14,14,5,13,16,10,8,13,15,15,15,13,15,425,Goalie
68,1,61,Tyler Cannon,QCC,G,10,10,8,10,10,10,10,8,9,9,14,8,10,15,15,15,10,15,155,Goalie
132,1,61,Corey McFarland,KEL,G,8,10,6,5,13,11,13,5,13,13,5,8,11,15,15,15,9,15,182,Goalie
264,1,61,Conner McLavish,REG,G,10,10,8,10,10,11,11,10,10,11,7,8,12,15,15,15,10,15,155,Goalie
267,1,61,Julius Parker,VAN,G,10,11,7,10,11,10,11,7,10,11,10,8,11,15,15,15,11,15,155,Goalie
332,1,61,Shawn Lonkert,CAR,G,10,10,11,5,10,10,11,11,10,10,10,8,9,15,15,15,12,15,155,Goalie
366,1,61,Vincent Catalano,STL,G,13,13,9,9,12,13,13,12,13,13,5,8,9,15,15,15,10,15,269,Goalie
467,1,61,Tyler Avery,DET,G,10,10,7,10,12,10,10,10,10,10,10,8,10,15,15,15,12,15,160,Goalie
509,1,61,Keisuke Suzuki,VAN,G,12,13,9,9,11,10,11,11,10,15,12,8,11,15,15,15,11,15,256,Goalie
617,1,61,Tyrone Banks,COL,G,10,12,7,10,11,11,11,9,11,12,9,8,9,15,15,15,9,15,160,Goalie
625,1,61,Kevin Newman,QCC,G,11,11,9,10,11,11,11,4,11,11,7,7,9,15,15,15,11,15,153,Goalie
627,1,61,Tim Allen Jr.,NL,G,9,9,8,8,13,12,13,8,10,13,9,8,12,15,15,15,8,15,189,Goalie
631,1,61,Harley Fank,NBB,G,12,13,6,7,11,11,11,5,11,13,5,8,5,15,15,15,5,15,155,Goalie
660,1,61,Liam Bell,MET,G,11,11,11,11,11,11,11,11,11,4,4,7,4,15,15,15,10,15,155,Goalie
685,1,61,Osada Tamura,CAR,G,16,14,5,7,13,11,12,5,13,11,5,8,10,15,15,15,10,15,278,Goalie
697,1,61,Alexander Rask,GFG,G,10,10,11,11,12,10,10,5,10,10,10,8,10,15,15,15,10,15,155,Goalie
731,1,61,Jack Lewis,STL,G,11,11,10,9,12,11,12,11,12,12,7,8,8,15,15,15,11,15,199,Goalie
756,1,61,Jesse Hellanude,ANA,G,4,4,4,4,18,4,4,4,4,4,4,7,5,15,15,15,6,15,153,Goalie
757,1,61,Podan Podanovic,DET,G,12,12,12,12,13,13,13,12,12,13,12,8,12,15,15,15,12,15,344,Goalie
772,1,61,Loic Therien,KEL,G,8,8,8,8,5,8,10,5,5,15,5,8,5,15,15,15,15,15,155,Goalie
786,1,61,Roddy Ross,STL,G,10,15,5,5,10,10,10,6,8,10,10,8,10,15,15,15,10,15,155,Goalie
811,1,61,Senji Seteki,ANA,G,13,13,10,11,16,13,13,8,13,16,8,8,12,15,15,15,13,15,425,Goalie
814,1,61,Willie Macdougal,NBB,G,11,13,5,10,13,11,10,5,10,11,7,8,8,15,15,15,8,15,155,Goalie
827,1,61,Evgeni Petrov,NL,G,12,12,8,6,15,15,15,6,12,16,8,7,11,15,15,15,10,15,382,Goalie
851,1,61,Hugh Jass,DET,G,13,13,9,11,11,11,11,10,11,11,10,8,11,15,15,15,10,15,215,Goalie
859,1,61,Rebecca Montagne,REG,G,11,11,5,5,15,13,13,5,11,14,5,8,12,15,15,15,13,15,277,Goalie
871,1,61,Bloody Oath,MET,G,14,14,10,12,14,13,13,11,14,14,10,8,13,15,15,15,13,15,425,Goalie
881,1,61,Iorek Byrnison,STL,G,14,14,11,10,15,13,14,10,13,16,9,8,10,15,15,15,11,15,425,Goalie
896,1,61,Sebastian Andrews,COL,G,11,10,6,10,8,11,11,8,11,11,11,8,12,15,15,15,8,15,155,Goalie
956,1,61,Mertin Broduer,VAN,G,12,12,8,8,12,10,10,10,12,12,8,8,9,15,15,15,9,15,177,Goalie
958,1,61,Walrus Walrus,MET,G,11,11,5,5,12,11,11,11,11,11,6,8,7,15,15,15,11,15,155,Goalie
1041,1,61,Dustin Alexander,STL,G,10,10,15,10,10,6,7,6,6,10,10,8,10,15,15,15,10,15,155,Goalie
1047,1,61,Willie Miller,NBB,G,12,12,11,8,15,14,14,8,12,15,8,8,11,15,15,15,11,15,350,Goalie
1050,1,61,Monster The Doctor,DET,G,10,11,9,10,10,10,10,10,12,11,6,7,9,15,15,15,10,15,146,Goalie
1062,1,61,Toejam Picker,ANC,G,10,11,10,10,11,12,11,9,7,11,10,8,8,15,15,15,10,15,155,Goalie
1081,1,61,Roddy Ross,CAR,G,10,15,5,5,10,10,10,6,8,10,10,8,10,15,15,15,10,15,155,Goalie
1107,1,61,Olov Larsson,VAN,G,10,10,6,8,12,11,12,6,10,10,6,8,12,15,15,15,11,15,155,Goalie
1108,1,61,Recently Tired,COL,G,9,9,9,9,13,13,13,9,12,13,9,8,10,15,15,15,11,15,215,Goalie
1120,1,61,Jonas Johansson,NL,G,11,12,7,8,15,13,13,8,12,15,11,7,11,15,15,15,10,15,305,Goalie
1151,1,61,Dominik Tretyak,ANC,G,7,9,4,4,13,9,13,7,11,15,8,8,9,15,15,15,11,15,184,Goalie
1170,1,61,Jeremy Kendell,GFG,G,11,11,5,5,11,11,11,5,11,10,5,8,13,15,15,15,11,15,155,Goalie
1179,1,61,Olof Karsikko,VAN,G,13,13,6,9,16,13,13,9,13,16,9,7,12,15,15,15,13,15,409,Goalie
1180,1,61,Nor Dekes,QCC,G,13,13,9,9,16,9,16,10,13,16,9,8,11,15,15,15,11,15,424,Goalie
1221,1,61,Ted Lindsay,ANC,G,10,11,10,5,11,10,10,10,10,10,10,8,12,15,15,15,10,15,155,Goalie
1252,1,61,Brick Wall,GFG,G,11,11,9,9,14,12,14,10,11,14,9,8,11,15,15,15,11,15,274,Goalie
1277,1,61,Charlie Bombay,ANA,G,12,13,7,7,13,11,11,10,13,11,10,8,10,15,15,15,10,15,216,Goalie
1278,1,61,Meeka Keprosoft,CAR,G,13,14,9,11,15,13,13,5,14,13,5,8,11,15,15,15,11,15,338,Goalie
1279,1,61,Rusty Remao,MET,G,13,13,8,8,15,13,15,9,11,15,9,8,11,15,15,15,11,15,350,Goalie
1280,1,61,Jason Playstation,KEL,G,9,11,5,6,15,11,7,9,11,12,5,8,10,15,15,15,10,15,171,Goalie
1379,1,61,Anzelms Krastins,ANA,G,11,11,10,9,14,12,12,11,12,14,8,8,12,15,15,15,11,15,275,Goalie
1382,1,61,Lord Skrolk,KEL,G,11,12,5,8,13,10,13,5,11,12,10,8,12,15,15,15,12,15,218,Goalie
1383,1,61,Bob Hart,REG,G,13,5,8,5,10,5,5,12,6,15,8,8,10,15,15,15,9,15,155,Goalie
1384,1,61,Skating Dino,QCC,G,13,13,6,8,13,11,13,7,11,13,10,8,10,15,15,15,9,15,227,Goalie
68,1,62,Tyler Cannon,QCC,G,10,10,8,10,10,10,10,8,9,9,14,8,10,15,15,15,10,15,155,Goalie
132,1,62,Corey McFarland,KEL,G,8,10,6,5,13,11,13,5,13,13,5,8,11,15,15,15,9,15,182,Goalie
267,1,62,Julius Parker,REG,G,10,11,7,10,11,10,11,7,10,11,10,8,11,15,15,15,11,15,155,Goalie
332,1,62,Shawn Lonkert,CAR,G,10,10,11,5,10,10,11,11,10,10,10,8,9,15,15,15,12,15,155,Goalie
366,1,62,Vincent Catalano,STL,G,13,13,9,10,13,14,14,13,13,13,5,8,10,15,15,15,13,15,346,Goalie
467,1,62,Tyler Avery,DET,G,10,10,7,10,12,10,10,10,10,10,10,8,10,15,15,15,12,15,160,Goalie
509,1,62,Keisuke Suzuki,VAN,G,12,13,9,9,11,10,11,11,10,15,12,8,11,15,15,15,11,15,256,Goalie
523,1,62,Gus Ceroni,ANA,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
617,1,62,Tyrone Banks,COL,G,10,12,7,10,11,11,11,9,11,12,9,8,9,15,15,15,9,15,160,Goalie
625,1,62,Kevin Newman,QCC,G,10,10,8,9,10,10,10,4,10,10,7,7,8,15,15,15,10,15,104,Goalie
627,1,62,Tim Allen Jr.,NL,G,9,9,8,8,13,12,13,8,10,13,9,8,12,15,15,15,8,15,189,Goalie
660,1,62,Liam Bell,MET,G,11,11,11,11,11,11,11,11,11,5,5,8,5,15,15,15,10,15,155,Goalie
685,1,62,Osada Tamura,CAR,G,16,14,9,10,13,12,12,8,13,12,5,8,10,15,15,15,10,15,313,Goalie
697,1,62,Alexander Rask,GFG,G,10,10,11,11,12,10,10,5,10,10,10,8,10,15,15,15,10,15,155,Goalie
731,1,62,Jack Lewis,STL,G,11,11,10,9,12,11,12,11,12,12,7,8,8,15,15,15,11,15,199,Goalie
756,1,62,Jesse Hellanude,STL,G,5,5,5,5,19,5,5,5,5,5,5,8,6,15,15,15,7,15,195,Goalie
757,1,62,Podan Podanovic,DET,G,12,12,12,12,13,13,13,12,12,13,12,8,12,15,15,15,12,15,344,Goalie
772,1,62,Loic Therien,KEL,G,8,8,8,8,5,8,10,5,5,15,5,8,5,15,15,15,15,15,155,Goalie
786,1,62,Roddy Ross,STL,G,10,15,5,5,10,10,10,6,8,10,10,8,10,15,15,15,10,15,155,Goalie
814,1,62,Willie Macdougal,NBB,G,11,13,5,10,13,11,10,5,10,11,7,8,8,15,15,15,8,15,155,Goalie
859,1,62,Rebecca Montagne,REG,G,12,13,5,5,14,14,14,5,12,15,5,8,13,15,15,15,13,15,347,Goalie
871,1,62,Bloody Oath,MET,G,14,14,10,12,14,13,13,11,14,14,10,8,13,15,15,15,13,15,425,Goalie
876,1,62,ANC EBUG,ANC,G,15,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,238,Goalie
896,1,62,Sebastian Andrews,COL,G,11,10,6,10,8,11,11,8,11,11,11,8,12,15,15,15,8,15,155,Goalie
955,1,62,CAR EBUG,CAR,G,12,12,6,6,12,11,12,6,12,12,6,7,11,15,15,15,11,15,196,Goalie
956,1,62,Mertin Broduer,VAN,G,12,12,8,8,12,10,10,10,12,12,8,8,9,15,15,15,9,15,177,Goalie
958,1,62,Walrus Walrus,MET,G,11,11,5,5,12,11,11,11,11,11,6,8,7,15,15,15,11,15,155,Goalie
990,1,62,Evert Jansson,DET,G,12,11,9,10,14,11,11,9,11,13,8,8,9,15,15,15,10,15,211,Goalie
1001,1,62,Marsels Antilope,NL,G,10,10,4,10,4,15,10,10,10,10,11,7,4,15,15,15,4,15,155,Goalie
1015,1,62,Steffe Stenfors,VAN,G,10,10,10,10,13,10,10,10,10,10,10,8,10,15,15,15,7,15,155,Goalie
1041,1,62,Dustin Alexander,STL,G,10,10,15,10,10,6,7,6,6,10,10,8,10,15,15,15,10,15,155,Goalie
1047,1,62,Willie Miller,NBB,G,14,14,11,8,15,14,14,8,14,15,8,7,11,15,15,15,11,15,419,Goalie
1050,1,62,Monster The Doctor,COL,G,11,12,10,11,11,11,11,11,13,12,7,8,10,15,15,15,11,15,216,Goalie
1061,1,62,Skree McSkreeface,DET,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
1069,1,62,Smoky TheBear,GFG,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
1081,1,62,Roddy Ross,CAR,G,10,15,5,5,10,10,10,6,8,10,10,8,10,15,15,15,10,15,155,Goalie
1082,1,62,Dr. Henry Wu,COL,G,12,12,7,7,12,12,12,7,12,12,7,8,11,15,15,15,11,15,208,Goalie
1107,1,62,Olov Larsson,VAN,G,10,10,6,8,12,11,12,6,10,10,6,8,12,15,15,15,11,15,155,Goalie
1108,1,62,Recently Tired,COL,G,13,13,9,9,14,13,13,9,12,15,9,8,10,15,15,15,11,15,312,Goalie
1120,1,62,Jonas Johansson,NL,G,13,13,7,8,15,13,13,8,13,15,12,7,10,15,15,15,13,15,361,Goalie
1142,1,62,Cal St. Karsikz,VAN,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
1151,1,62,Dominik Tretyak,ANC,G,7,10,4,4,14,9,13,8,13,15,8,8,9,15,15,15,12,15,230,Goalie
1156,1,62,David Ayres,NBB,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
1158,1,62,Enes Gundogan,VAN,G,10,10,7,7,13,12,10,10,10,13,8,8,7,15,15,15,7,15,155,Goalie
1180,1,62,Nor Dekes,QCC,G,13,13,9,9,16,9,16,10,13,16,9,8,11,15,15,15,11,15,424,Goalie
1186,1,62,Scottey Crawfling,MET,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
1194,1,62,Hank Stopper,GFG,G,12,11,4,6,14,11,13,6,12,13,4,8,12,15,15,15,11,15,233,Goalie
1220,1,62,Bobby Beans,STL,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
1221,1,62,Ted Lindsay,ANC,G,10,11,10,5,11,10,10,10,10,10,10,8,12,15,15,15,10,15,155,Goalie
1246,1,62,Unstopab Owl,QCC,G,11,11,6,6,11,10,11,6,11,11,6,7,10,15,15,15,10,15,133,Goalie
1252,1,62,Brick Wall,GFG,G,13,13,7,8,14,13,14,7,12,14,7,8,14,15,15,15,13,15,350,Goalie
1277,1,62,Charlie Bombay,NL,G,12,13,7,7,13,11,11,10,13,11,10,8,10,15,15,15,10,15,216,Goalie
1278,1,62,Meeka Keprosoft,CAR,G,13,14,9,11,15,13,13,5,14,13,5,8,11,15,15,15,11,15,338,Goalie
1279,1,62,Rusty Remao,MET,G,13,13,8,8,15,13,15,9,11,15,9,8,11,15,15,15,11,15,350,Goalie
1280,1,62,Jason Playstation,KEL,G,9,11,5,6,15,11,7,9,11,12,5,8,10,15,15,15,10,15,171,Goalie
1300,1,62,Gumba Overdoo,REG,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
1313,1,62,MUNK LUCK,NL,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
1345,1,62,Emiko Spector,KEL,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
1373,1,62,Mrs. McSaves,ANA,G,13,12,9,7,13,12,12,8,12,13,8,8,10,15,15,15,10,15,230,Goalie
1379,1,62,Anzelms Krastins,ANA,G,11,11,10,9,15,12,13,11,12,15,8,8,12,15,15,15,11,15,313,Goalie
1382,1,62,Lord Skrolk,KEL,G,11,12,5,8,13,10,13,5,11,12,10,8,12,15,15,15,12,15,218,Goalie
1383,1,62,Bob Hart,REG,G,13,5,8,5,10,5,5,12,6,15,8,8,10,15,15,15,9,15,155,Goalie
1384,1,62,Skating Dino,QCC,G,13,13,6,10,13,13,13,7,13,13,10,8,10,15,15,15,10,15,271,Goalie
1467,1,62,Kevin Newman,NL,G,10,10,8,9,10,10,10,4,10,10,7,7,8,15,15,15,10,15,104,Goalie
1497,1,62,Tim Thomas,COL,G,11,11,11,12,12,11,12,5,11,12,5,8,12,15,15,15,12,15,224,Goalie
68,1,63,Tyler Cannon,QCC,G,10,10,8,10,10,10,10,8,9,9,14,8,10,15,15,15,10,15,155,Goalie
132,1,63,Corey McFarland,KEL,G,8,10,6,5,13,11,13,5,13,13,5,8,11,15,15,15,9,15,182,Goalie
264,1,63,Conner McLavish,ANA,G,10,10,8,10,10,11,11,10,10,11,7,8,12,15,15,15,10,15,155,Goalie
267,1,63,Julius Parker,KEL,G,10,11,7,10,11,10,11,7,10,11,10,8,11,15,15,15,11,15,155,Goalie
332,1,63,Shawn Lonkert,CAR,G,10,10,11,5,10,10,11,11,10,10,10,8,9,15,15,15,12,15,155,Goalie
467,1,63,Tyler Avery,DET,G,10,10,7,10,12,10,10,10,10,10,10,8,10,15,15,15,12,15,160,Goalie
509,1,63,Keisuke Suzuki,VAN,G,12,13,9,9,11,10,11,11,10,15,12,8,11,15,15,15,11,15,256,Goalie
523,1,63,Gus Ceroni,ANA,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
617,1,63,Tyrone Banks,COL,G,10,12,7,10,11,11,11,9,11,12,9,8,9,15,15,15,9,15,160,Goalie
625,1,63,Kevin Newman,QCC,G,11,11,9,10,11,11,11,5,11,11,8,8,9,15,15,15,11,15,155,Goalie
627,1,63,Tim Allen Jr.,NL,G,9,9,8,8,13,12,13,8,10,13,9,8,12,15,15,15,8,15,189,Goalie
660,1,63,Liam Bell,MET,G,11,11,11,11,11,11,11,11,11,5,5,8,5,15,15,15,10,15,155,Goalie
685,1,63,Osada Tamura,CAR,G,16,14,9,12,13,12,14,8,14,12,5,8,10,15,15,15,10,15,364,Goalie
697,1,63,Alexander Rask,GFG,G,10,10,11,11,12,10,10,5,10,10,10,8,10,15,15,15,10,15,155,Goalie
731,1,63,Jack Lewis,STL,G,11,11,10,9,12,11,12,11,12,12,7,8,8,15,15,15,11,15,199,Goalie
756,1,63,Jesse Hellanude,STL,G,5,5,5,5,18,5,5,5,5,5,5,8,6,15,15,16,7,15,155,Goalie
772,1,63,Loic Therien,KEL,G,8,8,8,8,5,8,10,5,5,15,5,8,5,15,15,15,15,15,155,Goalie
786,1,63,Roddy Ross,STL,G,10,15,5,5,10,10,10,6,8,10,10,8,10,15,15,15,10,15,155,Goalie
859,1,63,Rebecca Montagne,REG,G,13,13,5,5,15,15,15,5,13,15,5,8,14,15,15,15,13,15,423,Goalie
876,1,63,ANC EBUG,ANC,G,15,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,238,Goalie
896,1,63,Sebastian Andrews,COL,G,11,10,6,10,8,11,11,8,11,11,11,8,12,15,15,15,8,15,155,Goalie
955,1,63,CAR EBUG,CAR,G,12,12,7,7,12,11,12,7,12,12,7,8,11,15,15,15,11,15,200,Goalie
956,1,63,Mertin Broduer,VAN,G,12,12,8,8,12,10,10,10,12,12,8,8,9,15,15,15,9,15,177,Goalie
958,1,63,Walrus Walrus,MET,G,11,11,5,5,12,11,11,11,11,11,6,8,7,15,15,15,11,15,155,Goalie
